CATALOGO SEMESTRE:2023-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
DETALLE DE ASIGNATURAS,,,,,,,,,
Nro,CURSO,NOMBRE DE CURSO,,CR,CAT,REQUISITO,N° SEM,OBS,CURRICULA
,,OVIEDO-BALLADARES-LUIS,MA,[16-18],T,,VIRT 1 EO,2,
,,OVIEDO-BALLADARES-LUIS,JU,[16-18],P,,VIRT 1 EO,2,
,,OVIEDO-BALLADARES-LUIS,VI,[17-18],T,,VIRT 1 EO,1,
17,EC902AEO,INTRODUCCIÓN A LA ECONOMÍA,,4,EGT,15 Creds.,2,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,PORCEL-GUZMAN-LIZARDO,LU,[07-09],T,,EC-202,2,
,,PORCEL-GUZMAN-LIZARDO,MI,[07-09],P,,EC-202,2,
,,PORCEL-GUZMAN-LIZARDO,VI,[07-08],T,,EC-202,1,
18,EC902BEO,INTRODUCCIÓN A LA ECONOMÍA,,4,EGT,15 Creds.,2,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,VILLANUEVA-TAPIA-PEDRO FRANCISCO,MA,[18-20],T,,EC-202,2,
,,VILLANUEVA-TAPIA-PEDRO FRANCISCO,JU,[18-20],P,,EC-202,2,
,,VILLANUEVA-TAPIA-PEDRO FRANCISCO,VI,[19-20],T,,EC-202,1,
19,FP902AEO,LIDERAZGO Y HABILIDADES SOCIALES,,3,EG,15 Creds.,2,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,LAJO-CHAVEZ-YNDIRA,MA,[09-11],T,,EC-202,2,
,,LAJO-CHAVEZ-YNDIRA,JU,[09-11],P,,EC-202,2,
20,FP902BEO,LIDERAZGO Y HABILIDADES SOCIALES,,3,EG,15 Creds.,2,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,PEÑA-FARFÁN-MARÍA LILIANA,LU,[14-16],T,,EC-202,2,
,,PEÑA-FARFÁN-MARÍA LILIANA,MI,[14-16],P,,EC-202,2,
21,ME185AEO,MATEMATICAS PARA ECONOMISTAS I,,4,OEFE,ME901,2,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,SALGUERO-HUAYLLAS-PERCY,LU,[11-13],T,,VIRT 1 EO,2,
,,SALGUERO-HUAYLLAS-PERCY,MI,[11-13],P,,VIRT 1 EO,2,
